record_id,district,place_name,latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,water_supply,electricity,road_quality,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,water_presence_flag,historical_flood_count,infrastructure_score,nearest_hospital_km,nearest_evac_km,flood_risk_score,flood_occurrence_current_event,inundation_area_sqm,is_good_to_live,reason_not_good_to_live,is_synthetic,generation_date
F100000,Kegalle,Kudagama,7.416887,81.789107,88,339.2,Wetland,Loamy,Municipal,Mixed,Poor (unpaved),906,25.0,Rural,140.8,107.1,0.35,-0.378,0.504,Likely,0,12,2.76,2.74,39.56,No,0,No,Poor infrastructure,True,2025-06-02
F100001,Matara,Kiriwatta,6.266956,81.041369,58,1257.6,Agriculture,Clay,Municipal,Mixed,Fair,439,27.5,Rural,126.6,177.6,0.36,-0.175,-0.092,Unlikely,0,46,1.61,8.45,30.64,No,0,Yes,,True,2024-11-14
F100002,Trincomalee,Uduthota East,6.742164,80.927326,80,5225.3,Forest,Silty,Well,Mixed,Poor (unpaved),136,3.7,Rural,155.1,242.2,0.728,0.455,-0.211,Unlikely,0,30,4.4,3.01,35.6,No,0,Yes,,True,2024-03-01
F100003,Puttalam,Mahagama East,5.922365,81.484788,111,2950.4,Urban,Sandy,Surface water,Grid,Good (paved),729,16.3,Urban,10.1,171.6,0.288,0.439,-0.259,Unlikely,0,58,11.44,4.94,17.44,No,0,Yes,,True,2024-11-06
F100004,Matara,Welimulla East,7.899872,80.826149,26,228.3,Agriculture,Silty,Well,Mixed,Good (paved),431,21.6,Rural,36.1,436.5,0.435,-0.007,0.229,Likely,1,45,17.85,4.65,61.92,No,0,No,High flood risk,True,2024-07-21
F100005,Galle,Udupola,6.394456,80.45167,34,2086.5,Forest,Silty,Well,Grid,Good (paved),1730,27.6,Urban,19.5,93.4,0.87,0.666,-0.212,Unlikely,0,45,9.97,0.96,12.71,No,0,Yes,,True,2025-09-19
F100006,Puttalam,Kirikumbura Central,6.980463,81.847384,23,846.5,Forest,Loamy,Well,Grid,Fair,424,45.8,Rural,145.3,165.7,0.382,0.7,0.305,Likely,0,32,1.31,4.26,41.71,No,0,Yes,,True,2024-09-01
F100007,Colombo,Nayanuwara North,6.065139,80.979509,43,2072.2,Agriculture,Loamy,Rainwater harvesting,Grid,Good (paved),1534,55.7,Urban,13.2,142.9,0.558,0.427,-0.081,Unlikely,0,56,18.45,6.02,16.93,No,0,Yes,,True,2025-11-30
F100008,Matale,Kirivila East,7.029429,81.225805,843,1036.7,Agriculture,Clay,Rainwater harvesting,None,Good (paved),481,35.4,Rural,203.1,177.1,0.112,0.004,0.336,Likely,0,26,2.95,4.69,43.12,No,0,No,Poor infrastructure,True,2024-08-26
F100009,Vavuniya,Kudavila North,6.97407,80.198977,45,4452.1,Forest,Silty,Well,Grid,Good (paved),552,41.8,Rural,103.0,45.9,0.838,0.471,-0.031,Unlikely,1,73,15.34,2.09,14.54,No,0,Yes,,True,2025-07-01
